codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03001,315,25,189,101,294,20,167,107,122,6,64,52,130,4,74,52,609
03002,2474,390,1623,461,2432,367,1536,529,199,36,143,20,199,37,136,26,4906
03003,319,38,214,67,261,32,149,80,25,1,18,6,21,1,15,5,580
03004,544,75,364,105,505,70,342,93,138,14,92,32,140,14,97,29,1049
03005,6420,1228,4317,875,6294,1208,4031,1055,1441,325,982,134,1254,306,820,128,12714
03006,667,43,350,274,669,48,338,283,373,11,150,212,401,19,176,206,1336
03007,100,10,56,34,81,7,40,34,3,0,2,1,4,0,3,1,181
03008,118,9,86,23,125,11,80,34,17,0,10,7,19,2,10,7,243
03009,28964,4402,19186,5376,30164,4166,18698,7300,2301,425,1820,56,2070,356,1643,71,59128
03010,195,22,133,40,213,25,125,63,12,3,7,2,9,0,8,1,408
03011,10144,1344,6245,2555,10351,1269,6366,2716,5140,522,2846,1772,5398,491,3081,1826,20495
03012,1731,220,944,567,1665,195,950,520,994,77,455,462,974,73,502,399,3396
03013,672,113,402,157,662,84,388,190,50,10,32,8,40,4,28,8,1334
03014,163052,26713,109046,27293,174252,25102,111189,37961,24952,4195,19313,1444,24443,4060,18608,1775,337304
03015,10773,2151,7143,1479,10631,2051,6768,1812,2571,609,1684,278,2511,579,1655,277,21404
03016,56,4,35,17,61,5,29,27,8,1,3,4,12,1,7,4,117
03017,246,30,184,32,252,33,180,39,17,4,11,2,14,4,10,0,498
03018,11117,1569,7348,2200,11540,1512,7484,2544,3803,470,2440,893,3810,439,2497,874,22657
03019,10612,1926,7016,1670,10476,1802,6689,1985,779,113,534,132,788,103,566,119,21088
03020,71,4,45,22,63,5,38,20,11,1,5,5,5,1,3,1,134
03021,3572,576,2329,667,3541,518,2176,847,232,43,180,9,174,40,124,10,7113
03022,79,4,46,29,91,12,43,36,2,0,2,0,7,1,4,2,170
03023,861,127,555,179,846,115,496,235,49,8,39,2,36,2,29,5,1707
03024,2736,441,1824,471,2717,431,1707,579,361,74,255,32,350,78,237,35,5453
03025,1010,174,667,169,948,171,603,174,132,9,63,60,138,4,81,53,1958
03026,1143,179,772,192,1084,140,688,256,257,21,166,70,247,14,147,86,2227
03027,96,10,52,34,96,16,52,28,14,1,9,4,10,1,8,1,192
03028,557,44,370,143,526,35,308,183,22,4,16,2,28,1,22,5,1083
03029,239,18,135,86,244,22,134,88,102,5,54,43,107,7,60,40,483
03030,585,60,358,167,581,57,331,193,246,11,134,101,239,11,124,104,1166
03031,34455,4558,22970,6927,34663,4281,22418,7964,10405,1370,7461,1574,9764,1281,7028,1455,69118
03032,56,2,45,9,47,2,26,19,1,0,1,0,0,0,0,0,103
03033,70,4,46,20,65,7,39,19,11,0,8,3,10,0,6,4,135
03034,1614,180,943,491,1709,211,983,515,786,46,384,356,814,67,410,337,3323
03035,392,43,232,117,345,27,194,124,15,1,8,6,19,1,16,2,737
03036,54,7,38,9,47,7,31,9,1,0,1,0,1,0,1,0,101
03037,259,30,166,63,242,26,157,59,63,3,46,14,46,3,29,14,501
03038,203,16,137,50,194,15,111,68,13,0,8,5,18,0,10,8,397
03039,55,2,37,16,42,0,24,18,3,0,2,1,3,0,1,2,97
03040,189,22,109,58,226,26,114,86,40,0,19,21,68,1,29,38,415
03041,5626,786,3518,1322,5836,749,3613,1474,1978,192,1172,614,2022,182,1247,593,11462
03042,2220,281,1243,696,2227,254,1250,723,1337,148,652,537,1323,124,678,521,4447
03043,1776,263,1155,358,1852,289,1136,427,68,10,48,10,65,10,46,9,3628
03044,3514,626,2387,501,3480,603,2277,600,612,105,427,80,555,116,380,59,6994
03045,222,18,142,62,204,16,126,62,90,5,58,27,90,4,60,26,426
03046,1628,220,1030,378,1579,208,1013,358,540,40,285,215,523,32,296,195,3207
03047,11801,1676,7506,2619,11729,1505,7324,2900,5677,595,3440,1642,5711,561,3433,1717,23530
03048,3919,635,2651,633,3670,552,2337,781,872,117,703,52,654,105,499,50,7589
03049,9835,1966,6527,1342,9438,1856,5802,1780,2359,654,1649,56,1979,597,1321,61,19273
03050,14086,2173,9159,2754,14927,1991,9645,3291,2511,361,1542,608,2812,340,1842,630,29013
03051,217,31,147,39,212,22,144,46,8,1,7,0,11,1,10,0,429
03052,590,107,366,117,601,78,380,143,29,8,19,2,19,0,17,2,1191
03053,5484,858,3692,934,5268,791,3378,1099,658,73,424,161,625,71,391,163,10752
03054,226,24,132,70,199,12,101,86,44,6,24,14,30,3,16,11,425
03055,4450,794,2849,807,4430,741,2797,892,1074,135,602,337,1089,154,633,302,8880
03056,5783,872,3803,1108,5668,787,3524,1357,748,159,534,55,618,156,423,39,11451
03057,147,13,92,42,124,14,66,44,24,2,18,4,26,1,20,5,271
03058,3768,739,2517,512,3659,635,2392,632,623,162,442,19,622,170,433,19,7427
03059,15038,2652,9991,2395,14679,2588,9370,2721,2020,399,1379,242,1887,414,1281,192,29717
03060,63,4,36,23,54,4,23,27,1,0,0,1,5,0,2,3,117
03061,856,108,561,187,901,127,531,243,220,20,103,97,247,29,124,94,1757
03062,352,22,188,142,355,27,187,141,224,9,98,117,221,8,106,107,707
03063,20826,3144,13959,3723,22127,2996,14611,4520,4638,528,3222,888,5048,557,3523,968,42953
03064,3804,629,2559,616,3816,680,2380,756,682,134,433,115,714,147,463,104,7620
03065,116222,19531,78553,18138,117983,18551,76593,22839,13353,2088,10592,673,12115,1954,9433,728,234205
03066,25618,3905,16916,4797,26933,3694,16709,6530,1513,251,1196,66,1582,240,1252,90,52551
03067,54,1,36,17,51,2,27,22,4,0,3,1,3,0,2,1,105
03068,24,1,12,11,21,0,10,11,1,0,0,1,3,0,2,1,45
03069,3798,611,2600,587,3604,606,2450,548,1530,216,1032,282,1551,224,1075,252,7402
03070,2203,339,1408,456,2134,296,1351,487,881,110,503,268,798,97,459,242,4337
03071,3172,459,2124,589,3051,429,1972,650,712,85,500,127,648,93,444,111,6223
03072,248,31,164,53,257,44,157,56,20,1,12,7,26,4,15,7,505
03073,141,7,98,36,120,13,74,33,4,0,3,1,5,0,4,1,261
03074,1353,228,928,197,1256,248,793,215,254,64,181,9,222,60,156,6,2609
03075,118,5,84,29,125,10,91,24,31,0,23,8,34,2,25,7,243
03076,7779,1134,4900,1745,8204,1124,5067,2013,2469,318,1476,675,2706,307,1702,697,15983
03077,1352,141,738,473,1282,107,733,442,501,27,201,273,469,14,227,228,2634
03078,658,67,324,267,641,58,346,237,331,12,129,190,365,6,191,168,1299
03079,11845,1845,7911,2089,11807,1683,7599,2525,778,116,633,29,707,87,590,30,23652
03080,1035,149,681,205,995,128,618,249,193,26,111,56,207,20,121,66,2030
03081,1448,202,835,411,1444,189,827,428,532,51,281,200,528,44,309,175,2892
03082,13977,2041,8974,2962,14006,1962,8680,3364,6066,722,3688,1656,5967,684,3569,1714,27983
03083,3328,507,2193,628,3533,452,2177,904,219,32,162,25,254,34,190,30,6861
03084,290,23,174,93,294,25,162,107,14,0,5,9,19,1,11,7,584
03085,442,50,240,152,441,32,268,141,262,19,122,121,272,13,157,102,883
03086,130,10,82,38,112,5,72,35,35,0,20,15,24,0,14,10,242
03088,4417,738,3133,546,4083,751,2724,608,519,61,409,49,370,57,279,34,8500
03089,6087,942,3972,1173,6101,855,3765,1481,440,48,320,72,433,47,316,70,12188
03090,12839,2296,8784,1759,12840,2100,8640,2100,1324,202,894,228,1425,196,1002,227,25679
03091,255,23,130,102,294,26,150,118,127,5,53,69,132,5,66,61,549
03092,4653,789,3113,751,4673,813,2951,909,554,126,385,43,464,131,292,41,9326
03093,12726,1981,8669,2076,12885,1835,8393,2657,1119,176,902,41,882,166,675,41,25611
03094,9220,1594,6170,1456,8888,1491,5869,1528,2647,324,1605,718,2723,313,1640,770,18108
03095,3564,564,2428,572,3516,535,2277,704,557,59,437,61,599,62,465,72,7080
03096,3770,589,2529,652,3799,544,2397,858,294,42,224,28,309,38,236,35,7569
03097,1092,135,600,357,1141,133,603,405,482,36,218,228,490,21,235,234,2233
03098,397,51,266,80,390,51,248,91,71,3,41,27,61,5,35,21,787
03099,39105,5812,24690,8603,39835,5665,24550,9620,13186,1590,7517,4079,13214,1636,7766,3812,78940
03100,489,46,285,158,494,42,290,162,203,15,103,85,202,11,113,78,983
03101,3989,566,2587,836,4017,566,2513,938,965,85,575,305,991,104,611,276,8006
03102,5085,689,3209,1187,5155,640,3047,1468,837,72,446,319,836,61,463,312,10240
03103,141,11,88,42,134,14,76,44,10,2,5,3,12,0,8,4,275
03104,16850,2824,11508,2518,17159,2637,11348,3174,454,63,364,27,492,62,397,33,34009
03105,4126,640,2778,708,4016,604,2579,833,702,86,467,149,680,69,467,144,8142
03106,376,26,227,123,317,27,172,118,47,2,26,19,38,1,27,10,693
03107,2573,456,1746,371,2496,403,1663,430,736,109,490,137,711,79,492,140,5069
03109,2275,421,1587,267,2322,447,1513,362,366,87,260,19,426,109,293,24,4597
03110,346,40,200,106,324,37,187,100,140,7,64,69,128,6,59,63,670
03111,4197,761,2911,525,3861,664,2539,658,631,134,483,14,465,100,342,23,8058
03112,601,53,363,185,572,56,337,179,211,15,119,77,212,13,137,62,1173
03113,8162,854,4323,2985,7816,749,4154,2913,5422,383,2539,2500,5219,351,2529,2339,15978
03114,1329,186,800,343,1213,135,714,364,303,19,155,129,312,21,180,111,2542
03115,201,19,110,72,226,25,119,82,66,5,26,35,78,7,39,32,427
03116,842,125,547,170,800,106,518,176,130,18,70,42,123,9,77,37,1642
03117,348,43,192,113,354,24,198,132,109,4,40,65,124,2,60,62,702
03118,4275,390,2102,1783,4172,367,2155,1650,2727,154,1115,1458,2707,141,1275,1291,8447
03119,11755,2037,7830,1888,12608,1908,8147,2553,1395,225,1039,131,1525,217,1110,198,24363
03120,3284,454,1888,942,3269,416,1918,935,1752,213,861,678,1796,181,1003,612,6553
03121,17132,2762,11478,2892,17016,2558,11133,3325,3175,419,2097,659,3156,351,2167,638,34148
03122,29148,5202,19912,4034,29764,4763,20076,4925,1981,272,1583,126,2087,266,1671,150,58912
03123,5012,779,3392,841,4923,783,3141,999,330,33,214,83,302,28,213,61,9935
03124,305,23,211,71,273,26,156,91,29,5,13,11,28,1,14,13,578
03125,312,33,210,69,293,53,178,62,101,8,65,28,88,13,53,22,605
03127,338,24,211,103,304,27,171,106,128,7,82,39,108,5,68,35,642
03128,5723,736,3407,1580,5743,658,3378,1707,3105,281,1681,1143,3015,226,1669,1120,11466
03129,892,92,617,183,799,98,494,207,113,10,53,50,112,6,64,42,1691
03130,23,1,15,7,14,0,5,9,7,0,3,4,5,0,2,3,37
03131,156,11,83,62,171,17,99,55,60,0,27,33,69,3,36,30,327
03132,355,33,224,98,326,28,204,94,51,4,29,18,55,3,37,15,681
03133,40721,6134,25720,8867,42121,5667,26047,10407,16462,2264,10737,3461,17125,2146,11242,3737,82842
03134,90,5,53,32,73,7,39,27,9,0,3,6,6,0,2,4,163
03135,105,1,74,30,99,3,60,36,7,0,4,3,8,0,8,0,204
03136,293,22,180,91,264,30,151,83,52,6,33,13,52,1,37,14,557
03137,419,48,232,139,424,34,221,169,55,6,35,14,68,8,48,12,843
03138,2412,365,1573,474,2429,344,1504,581,469,55,334,80,494,71,322,101,4841
03139,17216,2636,11752,2828,17468,2542,11416,3510,3368,474,2421,473,3407,512,2413,482,34684
03140,17068,2851,11439,2778,16957,2604,10795,3558,1364,273,1036,55,1144,242,842,60,34025
03901,1296,137,685,474,1425,147,768,510,607,26,243,338,713,38,313,362,2721
03902,11611,1893,7408,2310,10986,1788,6775,2423,4698,633,2749,1316,4145,549,2358,1238,22597
03903,2624,381,1661,582,2499,339,1571,589,941,96,497,348,937,84,540,313,5123
03904,1117,204,775,138,1029,170,710,149,165,28,116,21,144,22,112,10,2146
